"row.names","game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","base","reviewDetails.isOverturned.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y","reviewDetails.isOverturned","reviewDetails.reviewType","reviewDetails.challengeTeamId","season"
"1",502128.0,"2017-03-31",0,"2017-03-31T02:49:13.000Z","2017-03-31T02:49:18.000Z",true,pitch,"05021286-0756-0013-000c-f08cd117d70a",1,"In play, out(s)",,,,,false,X,"rgba(26, 86, 190, 1.0)",true,false,false,X,Hit Into Play - Out(s),0,0,,,,3.359,1.7,,130.33,86.52,ground_ball,medium,"6",113.15,149.59,,,,,,,,,"74",atBat,Groundout,field_out,"Luis Cruz grounds out, shortstop Paul DeJong to first baseman Jose Martinez.",0,9,3,74,bottom,9,"2017-03-31T02:48:29.000Z","2017-03-31T02:49:18.000Z",true,false,false,true,0,0,0,3,606133,Luis Cruz,/api/v1/people/606133,R,Right,462515,Miguel Socolovich,/api/v1/people/462515,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"2",502128.0,"2017-03-31",2,"2017-03-31T02:48:25.000Z","2017-03-31T02:48:28.000Z",true,pitch,"05021286-0746-0033-000c-f08cd117d70a",3,Called Strike,,,,,false,C,"rgba(170, 21, 11, 1.0)",false,true,false,C,Strike - Called,0,3,,,,3.359,1.7,,126.34,92.02,,,,,,,,,,,,,,"73",atBat,Strikeout,strikeout,Todd Cunningham called out on strikes.,0,9,3,73,bottom,9,"2017-03-31T02:46:37.000Z","2017-03-31T02:48:28.000Z",true,false,false,true,14,0,3,2,592239,Todd Cunningham,/api/v1/people/592239,L,Left,462515,Miguel Socolovich,/api/v1/people/462515,R,Right,vs_RHP,vs_LHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"3",502128.0,"2017-03-31",1,"2017-03-31T02:48:10.000Z","2017-03-31T02:48:25.000Z",true,pitch,"05021286-0746-0023-000c-f08cd117d70a",2,Called Strike,,,,,false,C,"rgba(170, 21, 11, 1.0)",false,true,false,C,Strike - Called,0,2,,,,3.359,1.7,,122.36,57.79,,,,,,,,,,,,,,"73",atBat,Strikeout,strikeout,Todd Cunningham called out on strikes.,0,9,3,73,bottom,9,"2017-03-31T02:46:37.000Z","2017-03-31T02:48:28.000Z",true,false,false,true,14,0,3,2,592239,Todd Cunningham,/api/v1/people/592239,L,Left,462515,Miguel Socolovich,/api/v1/people/462515,R,Right,vs_RHP,vs_LHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"4",502128.0,"2017-03-31",0,"2017-03-31T02:48:06.000Z","2017-03-31T02:48:10.000Z",true,pitch,"05021286-0746-0013-000c-f08cd117d70a",1,Called Strike,,,,,false,C,"rgba(170, 21, 11, 1.0)",false,true,false,C,Strike - Called,0,1,,,,3.359,1.7,,143.4,87.74,,,,,,,,,,,,,,"73",atBat,Strikeout,strikeout,Todd Cunningham called out on strikes.,0,9,3,73,bottom,9,"2017-03-31T02:46:37.000Z","2017-03-31T02:48:28.000Z",true,false,false,true,14,0,3,2,592239,Todd Cunningham,/api/v1/people/592239,L,Left,462515,Miguel Socolovich,/api/v1/people/462515,R,Right,vs_RHP,vs_LHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"5",502128.0,"2017-03-31",3,"2017-03-31T02:46:34.000Z","2017-03-31T02:46:35.000Z",true,pitch,"05021286-0736-0033-000c-f08cd117d70a",3,Swinging Strike,,,,,false,S,"rgba(170, 21, 11, 1.0)",false,true,false,S,Strike - Swinging,0,3,,,,3.359,1.7,,97.91,96.91,,,,,,,,,,,,,,"72",atBat,Strikeout,strikeout,Patrick Wisdom strikes out swinging.,0,9,3,72,bottom,9,"2017-03-31T02:41:56.000Z","2017-03-31T02:46:35.000Z",true,false,false,true,14,0,3,1,621550,Patrick Wisdom,/api/v1/people/621550,R,Right,462515,Miguel Socolovich,/api/v1/people/462515,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"6",502128.0,"2017-03-31",2,"2017-03-31T02:46:31.000Z","2017-03-31T02:46:34.000Z",true,pitch,"05021286-0736-0023-000c-f08cd117d70a",2,Swinging Strike,,,,,false,S,"rgba(170, 21, 11, 1.0)",false,true,false,S,Strike - Swinging,0,2,,,,3.359,1.7,,101.33,73.68,,,,,,,,,,,,,,"72",atBat,Strikeout,strikeout,Patrick Wisdom strikes out swinging.,0,9,3,72,bottom,9,"2017-03-31T02:41:56.000Z","2017-03-31T02:46:35.000Z",true,false,false,true,14,0,3,1,621550,Patrick Wisdom,/api/v1/people/621550,R,Right,462515,Miguel Socolovich,/api/v1/people/462515,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"7",502128.0,"2017-03-31",1,"2017-03-31T02:46:27.000Z","2017-03-31T02:46:31.000Z",true,pitch,"05021286-0736-0013-000c-f08cd117d70a",1,Swinging Strike,,,,,false,S,"rgba(170, 21, 11, 1.0)",false,true,false,S,Strike - Swinging,0,1,,,,3.359,1.7,,122.36,108.53,,,,,,,,,,,,,,"72",atBat,Strikeout,strikeout,Patrick Wisdom strikes out swinging.,0,9,3,72,bottom,9,"2017-03-31T02:41:56.000Z","2017-03-31T02:46:35.000Z",true,false,false,true,14,0,3,1,621550,Patrick Wisdom,/api/v1/people/621550,R,Right,462515,Miguel Socolovich,/api/v1/people/462515,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"8",502128.0,"2017-03-31",0,"2017-03-31T02:44:10.000Z","2017-03-31T02:46:27.000Z",false,action,,,Pitching Change: Miguel Socolovich replaces Josh Lucas.,Pitching Substitution,9,3,false,false,,,,,,,,0,0,0,462515,/api/v1/people/462515,,,,,,,,,,,,pitching_substitution,,"1",Pitcher,Pitcher,P,,"72",atBat,Strikeout,strikeout,Patrick Wisdom strikes out swinging.,0,9,3,72,bottom,9,"2017-03-31T02:41:56.000Z","2017-03-31T02:46:35.000Z",true,false,false,true,14,0,3,1,621550,Patrick Wisdom,/api/v1/people/621550,R,Right,462515,Miguel Socolovich,/api/v1/people/462515,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"9",502128.0,"2017-03-31",0,"2017-03-31T02:41:49.000Z","2017-03-31T02:41:53.000Z",true,pitch,"05021286-0726-0013-000c-f08cd117d70a",1,"In play, out(s)",,,,,false,X,"rgba(26, 86, 190, 1.0)",true,false,false,X,Hit Into Play - Out(s),0,0,,,,3.359,1.7,,136.58,106.08,line_drive,medium,"1",123.44,181.05,,,,,,,,,"71",atBat,Lineout,field_out,Eric Fryer lines out to pitcher John Brebbia.,0,9,3,71,top,9,"2017-03-31T02:40:12.000Z","2017-03-31T02:41:53.000Z",true,false,false,true,0,0,0,3,518700,Eric Fryer,/api/v1/people/518700,R,Right,605154,John Brebbia,/api/v1/people/605154,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,St. Louis Cardinals,Memphis Redbirds,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,2017.0
"62235",505513.0,"2017-04-14",1,"2017-04-14T02:27:36.000Z","2017-04-14T02:27:51.000Z",true,pitch,"05055136-0556-0013-000c-f08cd117d70a",1,Ball,,,,,false,B,"rgba(39, 161, 39, 1.0)",false,false,true,B,Ball - Called,1,0,,,,3.359,1.7,,66.07,177.6,,,,,,,,,,,,,,"54",atBat,Flyout,field_out,Shane Robinson flies out to left fielder Jae-Gyun Hwang.,0,0,4,54,bottom,7,"2017-04-14T02:25:35.000Z","2017-04-14T02:28:52.000Z",true,false,false,true,0,3,1,1,453203,Shane Robinson,/api/v1/people/453203,R,Right,596816,Roberto  Gomez,/api/v1/people/596816,R,Right,vs_RHP,vs_RHB,Empty,,Salt Lake Bees,11,Triple-A,108,Los Angeles Angels,112,Pacific Coast League,Sacramento River Cats,11,Triple-A,137,San Francisco Giants,112,Pacific Coast League,Salt Lake Bees,Sacramento River Cats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"10",502128.0,"2017-03-31",0,"2017-03-31T02:40:06.000Z","2017-03-31T02:40:11.000Z",true,pitch,"05021286-0716-0013-000c-f08cd117d70a",1,"In play, no out",,,,,false,D,"rgba(26, 86, 190, 1.0)",true,false,false,D,Hit Into Play - No Out(s),0,0,,,,3.359,1.7,,134.31,84.07,fly_ball,medium,"7",76.84,74.55,,,,,,,,,"70",atBat,Double,double,Wilfredo Tovar doubles (1) on a fly ball to left fielder Anthony Garcia.,0,9,3,70,top,9,"2017-03-31T02:39:00.000Z","2017-03-31T02:40:11.000Z",true,false,false,false,34,0,0,2,541600,Wilfredo Tovar,/api/v1/people/541600,R,Right,605154,John Brebbia,/api/v1/people/605154,R,Right,vs_RHP,vs_RHB,RISP,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,St. Louis Cardinals,Memphis Redbirds,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,541600,Wilfredo Tovar,/api/v1/people/541600,,,,,,,,,,,,,,2017.0
"11",502128.0,"2017-03-31",0,"2017-03-31T02:38:53.000Z","2017-03-31T02:38:58.000Z",true,pitch,"05021286-0706-0013-000c-f08cd117d70a",1,"In play, out(s)",,,,,false,X,"rgba(26, 86, 190, 1.0)",true,false,false,X,Hit Into Play - Out(s),0,0,,,,3.359,1.7,,112.13,99.36,fly_ball,medium,"8",128.88,64.87,,,,,,,,,"69",atBat,Flyout,field_out,Jose Martinez flies out to center fielder Blake Drake.,0,9,3,69,top,9,"2017-03-31T02:38:24.000Z","2017-03-31T02:38:58.000Z",true,false,false,true,0,0,0,2,500874,Jose Martinez,/api/v1/people/500874,R,Right,605154,John Brebbia,/api/v1/people/605154,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,St. Louis Cardinals,Memphis Redbirds,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,2017.0
"12",502128.0,"2017-03-31",1,"2017-03-31T02:38:15.000Z","2017-03-31T02:38:23.000Z",true,pitch,"05021286-0696-0013-000c-f08cd117d70a",1,"In play, out(s)",,,,,false,X,"rgba(26, 86, 190, 1.0)",true,false,false,X,Hit Into Play - Out(s),0,0,,,,3.359,1.7,,110.99,106.08,fly_ball,medium,"9",188.19,109.65,,,,,,,,,"68",atBat,Flyout,field_out,Paul DeJong flies out to right fielder Tommy Pham.,0,9,3,68,top,9,"2017-03-31T02:33:08.000Z","2017-03-31T02:38:23.000Z",true,false,false,true,0,0,0,1,657557,Paul DeJong,/api/v1/people/657557,R,Right,605154,John Brebbia,/api/v1/people/605154,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,St. Louis Cardinals,Memphis Redbirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,2017.0
"13",502128.0,"2017-03-31",0,"2017-03-31T02:34:17.000Z","2017-03-31T02:38:15.000Z",false,action,,,Pitching Change: John Brebbia replaces Blake McKnight.,Pitching Substitution,9,3,false,false,,,,,,,,0,0,0,605154,/api/v1/people/605154,,,,,,,,,,,,pitching_substitution,,"1",Pitcher,Pitcher,P,,"68",atBat,Flyout,field_out,Paul DeJong flies out to right fielder Tommy Pham.,0,9,3,68,top,9,"2017-03-31T02:33:08.000Z","2017-03-31T02:38:23.000Z",true,false,false,true,0,0,0,1,657557,Paul DeJong,/api/v1/people/657557,R,Right,605154,John Brebbia,/api/v1/people/605154,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,St. Louis Cardinals,Memphis Redbirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,2017.0
"14",502128.0,"2017-03-31",2,"2017-03-31T02:33:04.000Z","2017-03-31T02:33:06.000Z",true,pitch,"05021286-0686-0033-000c-f08cd117d70a",3,Called Strike,,,,,false,C,"rgba(170, 21, 11, 1.0)",false,true,false,C,Strike - Called,0,3,,,,3.359,1.7,,135.44,80.41,,,,,,,,,,,,,,"67",atBat,Strikeout,strikeout,Luke Voit called out on strikes.,0,9,3,67,bottom,8,"2017-03-31T02:30:07.000Z","2017-03-31T02:33:06.000Z",true,false,false,true,14,0,3,3,572228,Luke Voit,/api/v1/people/572228,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"15",502128.0,"2017-03-31",1,"2017-03-31T02:32:58.000Z","2017-03-31T02:33:04.000Z",true,pitch,"05021286-0686-0023-000c-f08cd117d70a",2,Called Strike,,,,,false,C,"rgba(170, 21, 11, 1.0)",false,true,false,C,Strike - Called,0,2,,,,3.359,1.7,,151.36,65.74,,,,,,,,,,,,,,"67",atBat,Strikeout,strikeout,Luke Voit called out on strikes.,0,9,3,67,bottom,8,"2017-03-31T02:30:07.000Z","2017-03-31T02:33:06.000Z",true,false,false,true,14,0,3,3,572228,Luke Voit,/api/v1/people/572228,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
"16",502128.0,"2017-03-31",0,"2017-03-31T02:32:54.000Z","2017-03-31T02:32:58.000Z",true,pitch,"05021286-0686-0013-000c-f08cd117d70a",1,Called Strike,,,,,false,C,"rgba(170, 21, 11, 1.0)",false,true,false,C,Strike - Called,0,1,,,,3.359,1.7,,125.21,98.74,,,,,,,,,,,,,,"67",atBat,Strikeout,strikeout,Luke Voit called out on strikes.,0,9,3,67,bottom,8,"2017-03-31T02:30:07.000Z","2017-03-31T02:33:06.000Z",true,false,false,true,14,0,3,3,572228,Luke Voit,/api/v1/people/572228,R,Right,572998,Josh Lucas,/api/v1/people/572998,R,Right,vs_RHP,vs_RHB,Empty,,Memphis Redbirds,11,Triple-A,138,St. Louis Cardinals,112,Pacific Coast League,St. Louis Cardinals,1,Major League Baseball,,,104,National League,Memphis Redbirds,St. Louis Cardinals,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,2017.0
